event_type,event_date,user_id,project_name,organization,action,commits_count,files_changed,is_public,language
MergeEvent,2023-12-19,tom_nelson,vercel/micro,vercel,reviewed,,,True,Rust
CreateEvent,2023-09-30,jen_liu,elastic/elasticsearch,elastic,opened,,,True,Java
IssuesEvent,2023-04-02,robert_brown,hashicorp/packer,hashicorp,reviewed,,,False,C++
MergeEvent,2023-11-15,maria_rodriguez,microsoft/playwright,microsoft,approved,,,True,JavaScript
IssuesEvent,2023-12-08,tom_nelson,netflix/eureka,netflix,commented,,,False,Go
IssuesEvent,2023-06-13,alex_kumar,uber/react-map-gl,uber,approved,,,False,TypeScript
PushEvent,2023-11-25,robert_brown,microsoft/dotnet,microsoft,updated,15.0,19.0,True,Python
CreateEvent,2023-12-31,mike_johnson,uber/pyro,uber,opened,,,True,Java
CreateEvent,2023-06-20,nina_patel,google/angular,google,approved,,,True,Go
IssuesEvent,2023-05-06,rachel_kim,facebook/jest,facebook,approved,,,True,Go
CommitEvent,2023-08-19,emma_garcia,airbnb/lottie,airbnb,reviewed,5.0,21.0,True,Go
MergeEvent,2023-12-09,john_taylor,google/kubernetes,google,merged,,,True,C++
PushEvent,2023-11-08,sarah_chen,uber/pyro,uber,updated,8.0,12.0,True,TypeScript
PushEvent,2023-04-26,alex_kumar,netflix/conductor,netflix,closed,10.0,20.0,True,TypeScript
IssuesEvent,2023-01-04,david_martinez,hashicorp/vagrant,hashicorp,closed,,,True,TypeScript
PullRequestEvent,2023-04-30,tom_nelson,netflix/conductor,netflix,approved,27.0,25.0,True,Go
CommitEvent,2023-12-08,sarah_chen,netflix/conductor,netflix,closed,8.0,25.0,True,Go
MergeEvent,2023-03-10,anna_wilson,elastic/kibana,elastic,reviewed,,,True,Rust
PushEvent,2023-08-28,dan_murphy,hashicorp/consul,hashicorp,commented,11.0,15.0,True,Java
IssuesEvent,2023-05-25,david_martinez,hashicorp/consul,hashicorp,approved,,,True,JavaScript
PullRequestEvent,2023-11-13,sophie_duval,hashicorp/consul,hashicorp,approved,13.0,73.0,True,JavaScript
PushEvent,2023-06-01,james_smith,hashicorp/consul,hashicorp,opened,11.0,1.0,False,Java
MergeEvent,2023-11-10,sophie_duval,netflix/conductor,netflix,opened,,,True,Python
PullRequestEvent,2023-02-09,nina_patel,google/tensorflow,google,created,10.0,71.0,True,TypeScript
CommitEvent,2023-07-09,emma_garcia,hashicorp/vault,hashicorp,reviewed,14.0,20.0,False,Rust
PullRequestEvent,2023-12-01,mark_davis,google/angular,google,approved,20.0,58.0,False,Python
MergeEvent,2023-06-13,mark_davis,airbnb/javascript,airbnb,merged,,,True,Go
CommitEvent,2023-07-04,anna_wilson,facebook/react-native,facebook,approved,13.0,4.0,True,Python
PushEvent,2023-09-28,john_taylor,apache/spark,apache,opened,12.0,11.0,True,Java
CreateEvent,2023-08-04,john_taylor,facebook/yoga,facebook,approved,,,True,Java
PullRequestEvent,2023-12-19,john_taylor,apache/airflow,apache,commented,4.0,62.0,True,Rust
MergeEvent,2023-10-07,david_martinez,airbnb/enzyme,airbnb,approved,,,False,C++
CommitEvent,2023-08-16,mark_davis,google/tensorflow,google,closed,1.0,25.0,True,Go
MergeEvent,2023-01-19,sarah_chen,airbnb/lottie,airbnb,closed,,,True,Java
PullRequestEvent,2023-04-16,david_martinez,airbnb/enzyme,airbnb,created,14.0,63.0,True,Java
CreateEvent,2023-07-30,alex_kumar,facebook/relay,facebook,merged,,,True,Rust
CreateEvent,2023-06-20,john_taylor,vercel/swr,vercel,merged,,,False,Rust
IssuesEvent,2023-10-26,jen_liu,uber/jaeger,uber,approved,,,True,Rust
PushEvent,2023-06-15,dan_murphy,uber/react-map-gl,uber,created,13.0,16.0,True,TypeScript
PushEvent,2023-03-07,alex_kumar,google/angular,google,approved,7.0,6.0,True,Java
PushEvent,2023-05-06,david_martinez,uber/cadence,uber,created,5.0,13.0,True,Java
CommitEvent,2023-06-11,jen_liu,vercel/hyper,vercel,created,9.0,6.0,True,C++
CreateEvent,2023-08-07,maria_rodriguez,microsoft/TypeScript,microsoft,updated,,,True,C++
PullRequestEvent,2023-12-10,rachel_kim,netflix/zuul,netflix,merged,39.0,98.0,True,C++
MergeEvent,2023-07-01,chris_lee,netflix/archaius,netflix,merged,,,False,Rust
CommitEvent,2023-04-28,nina_patel,hashicorp/vault,hashicorp,merged,10.0,15.0,True,Rust
CommitEvent,2023-01-16,dan_murphy,netflix/hystrix,netflix,updated,11.0,11.0,True,Rust
MergeEvent,2023-08-06,olivia_zhang,vercel/swr,vercel,closed,,,True,TypeScript
MergeEvent,2024-01-01,mike_johnson,uber/jaeger,uber,approved,,,True,JavaScript
IssuesEvent,2023-06-13,tom_nelson,facebook/react-native,facebook,updated,,,True,Java
PushEvent,2023-07-28,david_martinez,hashicorp/consul,hashicorp,commented,13.0,19.0,True,Python
PullRequestEvent,2023-05-15,maria_rodriguez,microsoft/vscode,microsoft,approved,49.0,30.0,True,Rust
CreateEvent,2023-10-16,chris_lee,elastic/kibana,elastic,approved,,,True,C++
CommitEvent,2023-10-06,sarah_chen,google/chromium,google,commented,3.0,18.0,False,C++
PushEvent,2023-08-04,tom_nelson,netflix/conductor,netflix,merged,8.0,22.0,False,JavaScript
CommitEvent,2023-11-27,david_martinez,elastic/elasticsearch,elastic,reviewed,7.0,12.0,True,JavaScript
PullRequestEvent,2023-01-30,john_taylor,elastic/apm-server,elastic,merged,34.0,1.0,True,JavaScript
PushEvent,2023-08-13,sarah_chen,netflix/zuul,netflix,opened,13.0,13.0,True,Python
IssuesEvent,2023-06-04,john_taylor,uber/react-map-gl,uber,updated,,,True,Java
CommitEvent,2023-09-02,mark_davis,vercel/turbo,vercel,merged,5.0,8.0,True,Python
PushEvent,2023-11-29,maria_rodriguez,google/kubernetes,google,updated,15.0,4.0,True,TypeScript
MergeEvent,2023-09-15,olivia_zhang,hashicorp/nomad,hashicorp,opened,,,True,TypeScript
IssuesEvent,2023-10-16,alex_kumar,apache/flink,apache,merged,,,False,JavaScript
PushEvent,2023-02-06,dan_murphy,facebook/relay,facebook,closed,14.0,17.0,True,Go
CreateEvent,2023-03-31,sarah_chen,google/tensorflow,google,reviewed,,,True,JavaScript
CommitEvent,2023-05-19,chris_lee,netflix/hystrix,netflix,created,6.0,11.0,True,Go
CommitEvent,2023-10-29,maria_rodriguez,uber/kraken,uber,created,9.0,10.0,True,Rust
CreateEvent,2023-05-05,mark_davis,airbnb/visx,airbnb,opened,,,False,Go
IssuesEvent,2023-02-17,dan_murphy,airbnb/mavericks,airbnb,commented,,,True,Python
CommitEvent,2023-03-13,james_smith,microsoft/vscode,microsoft,commented,1.0,12.0,True,Go
IssuesEvent,2023-08-15,jen_liu,facebook/react-native,facebook,opened,,,True,JavaScript
IssuesEvent,2023-12-13,sophie_duval,google/tensorflow,google,created,,,True,Python
PushEvent,2023-08-31,nina_patel,microsoft/dotnet,microsoft,updated,13.0,6.0,True,Go
MergeEvent,2023-06-05,anna_wilson,google/go,google,closed,,,True,Java
PushEvent,2023-11-01,david_martinez,airbnb/mavericks,airbnb,opened,8.0,11.0,True,Java
CreateEvent,2023-05-07,emma_garcia,airbnb/visx,airbnb,merged,,,True,Java
IssuesEvent,2023-01-13,david_martinez,apache/spark,apache,commented,,,True,Go
PushEvent,2023-10-30,lisa_anderson,google/angular,google,commented,8.0,25.0,True,TypeScript
CommitEvent,2023-12-01,nina_patel,apache/flink,apache,closed,2.0,21.0,True,JavaScript
PullRequestEvent,2023-04-01,anna_wilson,google/kubernetes,google,created,13.0,70.0,True,Python
CreateEvent,2023-05-13,emma_garcia,airbnb/enzyme,airbnb,merged,,,False,C++
MergeEvent,2023-06-07,maria_rodriguez,google/go,google,merged,,,True,Rust
IssuesEvent,2023-05-30,john_taylor,elastic/logstash,elastic,reviewed,,,False,Rust
CreateEvent,2023-06-28,emma_garcia,airbnb/visx,airbnb,approved,,,True,Rust
MergeEvent,2023-06-30,emma_garcia,netflix/eureka,netflix,closed,,,True,TypeScript
CreateEvent,2023-11-12,david_martinez,apache/beam,apache,opened,,,False,TypeScript
CommitEvent,2023-10-31,sophie_duval,uber/react-map-gl,uber,updated,9.0,16.0,False,Python
CommitEvent,2023-03-15,dan_murphy,microsoft/dotnet,microsoft,commented,8.0,8.0,True,Go
CommitEvent,2023-02-28,rachel_kim,facebook/docusaurus,facebook,opened,9.0,20.0,True,C++
MergeEvent,2023-02-22,james_smith,airbnb/visx,airbnb,commented,,,False,JavaScript
MergeEvent,2023-07-05,sarah_chen,vercel/hyper,vercel,commented,,,True,JavaScript
CreateEvent,2023-11-30,lisa_anderson,elastic/kibana,elastic,opened,,,True,Rust
PullRequestEvent,2023-01-04,nina_patel,elastic/beats,elastic,created,35.0,39.0,True,TypeScript
PullRequestEvent,2023-10-12,david_martinez,microsoft/vscode,microsoft,created,21.0,61.0,True,Java
IssuesEvent,2023-05-03,robert_brown,elastic/kibana,elastic,reviewed,,,True,Rust
MergeEvent,2023-12-19,james_smith,facebook/react,facebook,approved,,,True,TypeScript
CommitEvent,2023-11-18,david_martinez,hashicorp/vault,hashicorp,commented,12.0,21.0,True,Rust
CreateEvent,2023-02-21,tom_nelson,vercel/turbo,vercel,closed,,,True,JavaScript
CreateEvent,2023-01-15,david_martinez,apache/spark,apache,opened,,,True,TypeScript
CreateEvent,2023-01-20,tom_nelson,airbnb/lottie,airbnb,commented,,,True,Python
CreateEvent,2023-04-17,sophie_duval,hashicorp/packer,hashicorp,merged,,,True,TypeScript
CommitEvent,2023-10-05,mike_johnson,hashicorp/nomad,hashicorp,commented,9.0,12.0,True,Go
IssuesEvent,2023-10-04,sophie_duval,apache/spark,apache,updated,,,False,Rust
PullRequestEvent,2023-05-05,olivia_zhang,netflix/zuul,netflix,approved,21.0,86.0,True,Python
CreateEvent,2023-06-23,mark_davis,google/chromium,google,closed,,,True,JavaScript
PushEvent,2023-05-17,lisa_anderson,facebook/react,facebook,closed,12.0,1.0,True,Java
IssuesEvent,2023-02-21,james_smith,microsoft/terminal,microsoft,created,,,True,JavaScript
MergeEvent,2023-03-26,chris_lee,netflix/ribbon,netflix,approved,,,True,Rust
CreateEvent,2023-09-15,alex_kumar,elastic/elasticsearch,elastic,approved,,,True,C++
MergeEvent,2023-06-11,olivia_zhang,netflix/ribbon,netflix,approved,,,True,JavaScript
CommitEvent,2023-12-06,sophie_duval,google/go,google,approved,12.0,5.0,True,Java
MergeEvent,2023-04-06,jen_liu,apache/cassandra,apache,updated,,,True,Python
PullRequestEvent,2023-05-10,rachel_kim,airbnb/enzyme,airbnb,created,37.0,78.0,False,Python
MergeEvent,2023-08-21,rachel_kim,apache/kafka,apache,reviewed,,,True,Go
IssuesEvent,2023-03-23,mike_johnson,microsoft/vscode,microsoft,opened,,,True,Go
CreateEvent,2023-07-16,sophie_duval,vercel/hyper,vercel,updated,,,True,TypeScript
PullRequestEvent,2023-10-23,john_taylor,apache/spark,apache,closed,32.0,54.0,False,Java
PullRequestEvent,2023-06-13,rachel_kim,facebook/docusaurus,facebook,commented,44.0,94.0,False,TypeScript
PushEvent,2023-12-02,john_taylor,microsoft/vscode,microsoft,updated,13.0,22.0,True,Python
PullRequestEvent,2023-12-13,chris_lee,microsoft/TypeScript,microsoft,approved,39.0,86.0,True,C++
CommitEvent,2023-01-19,jen_liu,uber/pyro,uber,updated,15.0,16.0,False,JavaScript
MergeEvent,2023-01-31,emma_garcia,facebook/react-native,facebook,merged,,,True,Go
MergeEvent,2023-09-04,mike_johnson,uber/jaeger,uber,reviewed,,,True,Go
CreateEvent,2023-12-16,emma_garcia,airbnb/javascript,airbnb,approved,,,True,TypeScript
PullRequestEvent,2023-04-04,emma_garcia,airbnb/visx,airbnb,closed,9.0,68.0,True,Java
IssuesEvent,2023-11-09,maria_rodriguez,google/flutter,google,approved,,,True,Go
MergeEvent,2023-11-29,rachel_kim,hashicorp/nomad,hashicorp,created,,,False,Python
IssuesEvent,2023-06-01,rachel_kim,netflix/eureka,netflix,created,,,False,Java
CommitEvent,2023-07-16,dan_murphy,airbnb/javascript,airbnb,commented,1.0,7.0,True,TypeScript
CommitEvent,2023-10-01,nina_patel,vercel/hyper,vercel,merged,7.0,9.0,True,Python
PullRequestEvent,2023-09-01,alex_kumar,elastic/logstash,elastic,created,48.0,48.0,True,Python
CreateEvent,2023-01-19,anna_wilson,netflix/eureka,netflix,approved,,,True,Python
CreateEvent,2023-12-29,emma_garcia,airbnb/javascript,airbnb,closed,,,True,C++
PullRequestEvent,2023-01-11,john_taylor,google/kubernetes,google,approved,29.0,1.0,True,JavaScript
PushEvent,2023-07-03,chris_lee,apache/airflow,apache,reviewed,11.0,21.0,False,Python
PullRequestEvent,2023-08-12,emma_garcia,hashicorp/nomad,hashicorp,reviewed,32.0,47.0,False,Rust
IssuesEvent,2023-08-03,emma_garcia,elastic/apm-server,elastic,approved,,,True,Go
PushEvent,2023-09-10,maria_rodriguez,airbnb/javascript,airbnb,closed,13.0,5.0,True,Python
IssuesEvent,2023-01-08,rachel_kim,apache/airflow,apache,opened,,,False,TypeScript
MergeEvent,2023-09-12,sarah_chen,facebook/jest,facebook,merged,,,False,Rust
MergeEvent,2023-11-14,mark_davis,uber/jaeger,uber,approved,,,True,Rust
CreateEvent,2023-03-18,anna_wilson,elastic/apm-server,elastic,commented,,,False,Python
MergeEvent,2023-12-13,james_smith,google/go,google,commented,,,False,Rust
MergeEvent,2023-02-12,sophie_duval,facebook/docusaurus,facebook,approved,,,True,Python
CreateEvent,2023-06-09,tom_nelson,netflix/eureka,netflix,opened,,,True,C++
CommitEvent,2023-04-12,robert_brown,airbnb/mavericks,airbnb,commented,6.0,6.0,True,C++
PushEvent,2023-01-05,rachel_kim,hashicorp/terraform,hashicorp,closed,10.0,6.0,True,JavaScript
PushEvent,2023-06-14,sarah_chen,google/tensorflow,google,opened,8.0,5.0,True,TypeScript
CommitEvent,2023-05-01,dan_murphy,facebook/yoga,facebook,merged,5.0,9.0,True,Rust
CreateEvent,2023-12-11,emma_garcia,microsoft/PowerToys,microsoft,created,,,True,C++
CommitEvent,2023-03-06,olivia_zhang,elastic/elasticsearch,elastic,updated,15.0,22.0,True,Go
IssuesEvent,2023-03-27,david_martinez,microsoft/dotnet,microsoft,created,,,False,Python
MergeEvent,2023-04-16,maria_rodriguez,uber/jaeger,uber,closed,,,True,Rust
PullRequestEvent,2023-06-14,chris_lee,hashicorp/nomad,hashicorp,approved,42.0,71.0,False,Rust
CreateEvent,2023-01-22,anna_wilson,apache/kafka,apache,merged,,,False,Java
CommitEvent,2023-10-09,tom_nelson,apache/kafka,apache,commented,9.0,15.0,True,Java
PushEvent,2023-04-28,rachel_kim,elastic/logstash,elastic,reviewed,10.0,7.0,True,C++
PullRequestEvent,2023-08-07,emma_garcia,facebook/react-native,facebook,closed,30.0,71.0,True,JavaScript
CommitEvent,2023-11-27,mike_johnson,google/angular,google,closed,2.0,21.0,True,TypeScript
IssuesEvent,2023-12-07,john_taylor,apache/cassandra,apache,approved,,,False,Python
CreateEvent,2023-03-29,sarah_chen,airbnb/visx,airbnb,commented,,,True,JavaScript
CreateEvent,2023-01-23,mike_johnson,apache/flink,apache,commented,,,True,Go
CommitEvent,2023-02-24,james_smith,elastic/apm-server,elastic,updated,15.0,20.0,False,C++
MergeEvent,2023-09-21,david_martinez,hashicorp/vagrant,hashicorp,closed,,,True,JavaScript
PullRequestEvent,2023-10-23,chris_lee,elastic/logstash,elastic,closed,22.0,19.0,True,TypeScript
CreateEvent,2023-07-11,sarah_chen,uber/kraken,uber,commented,,,True,Python
PushEvent,2023-10-22,john_taylor,facebook/jest,facebook,merged,7.0,9.0,True,C++
IssuesEvent,2023-03-24,sarah_chen,vercel/swr,vercel,reviewed,,,True,TypeScript
PullRequestEvent,2023-01-31,john_taylor,microsoft/vscode,microsoft,reviewed,41.0,24.0,True,Java
CommitEvent,2023-09-10,mike_johnson,airbnb/javascript,airbnb,created,6.0,20.0,True,Java
PushEvent,2023-11-19,rachel_kim,facebook/jest,facebook,closed,9.0,8.0,True,Go
IssuesEvent,2023-08-13,emma_garcia,uber/kraken,uber,commented,,,True,C++
CreateEvent,2023-01-09,maria_rodriguez,uber/react-map-gl,uber,closed,,,True,Python
PushEvent,2023-04-09,sarah_chen,uber/jaeger,uber,reviewed,2.0,23.0,True,JavaScript
MergeEvent,2023-07-28,james_smith,facebook/react-native,facebook,reviewed,,,True,Go
IssuesEvent,2023-11-15,rachel_kim,microsoft/vscode,microsoft,approved,,,True,Go
PushEvent,2023-11-26,sarah_chen,airbnb/visx,airbnb,reviewed,1.0,13.0,True,TypeScript
PullRequestEvent,2023-11-20,sarah_chen,netflix/archaius,netflix,closed,36.0,98.0,True,TypeScript
IssuesEvent,2023-07-11,jen_liu,netflix/archaius,netflix,merged,,,True,JavaScript
IssuesEvent,2023-01-05,david_martinez,google/angular,google,created,,,True,Python
CreateEvent,2023-06-03,anna_wilson,netflix/archaius,netflix,updated,,,False,Java
MergeEvent,2023-10-16,david_martinez,elastic/beats,elastic,closed,,,True,Go
PushEvent,2023-03-05,olivia_zhang,google/tensorflow,google,closed,5.0,16.0,True,C++
IssuesEvent,2023-08-07,rachel_kim,hashicorp/packer,hashicorp,reviewed,,,True,Python
CreateEvent,2023-08-29,james_smith,netflix/archaius,netflix,opened,,,False,Go
IssuesEvent,2023-10-29,olivia_zhang,netflix/archaius,netflix,commented,,,True,Go
PullRequestEvent,2023-05-19,sarah_chen,elastic/beats,elastic,reviewed,33.0,61.0,True,Go
MergeEvent,2023-08-04,john_taylor,netflix/ribbon,netflix,updated,,,True,Rust
IssuesEvent,2023-02-07,maria_rodriguez,facebook/yoga,facebook,commented,,,True,Java
CreateEvent,2023-06-15,anna_wilson,google/kubernetes,google,commented,,,False,Python
PullRequestEvent,2023-09-05,dan_murphy,apache/beam,apache,updated,44.0,31.0,True,JavaScript
IssuesEvent,2023-02-09,sarah_chen,vercel/next.js,vercel,commented,,,False,Rust
IssuesEvent,2023-04-11,mark_davis,vercel/next.js,vercel,merged,,,True,Python
CommitEvent,2023-01-21,lisa_anderson,google/angular,google,updated,10.0,10.0,True,Python
CreateEvent,2023-06-25,sophie_duval,hashicorp/consul,hashicorp,opened,,,True,Java
CommitEvent,2023-04-01,olivia_zhang,airbnb/mavericks,airbnb,closed,8.0,7.0,True,Go
CommitEvent,2023-06-17,maria_rodriguez,airbnb/mavericks,airbnb,updated,11.0,3.0,True,JavaScript
PullRequestEvent,2023-09-18,rachel_kim,elastic/elasticsearch,elastic,merged,40.0,27.0,True,Rust
IssuesEvent,2023-06-02,david_martinez,microsoft/terminal,microsoft,reviewed,,,True,Go
CreateEvent,2023-05-09,sophie_duval,facebook/yoga,facebook,commented,,,True,C++
CommitEvent,2023-07-31,tom_nelson,hashicorp/terraform,hashicorp,updated,12.0,7.0,True,JavaScript
PushEvent,2023-01-26,mike_johnson,netflix/hystrix,netflix,approved,2.0,24.0,False,JavaScript
IssuesEvent,2023-05-06,anna_wilson,facebook/react,facebook,closed,,,True,Go
PullRequestEvent,2023-04-17,jen_liu,facebook/yoga,facebook,reviewed,26.0,89.0,True,Go
MergeEvent,2023-11-29,sarah_chen,airbnb/javascript,airbnb,closed,,,True,JavaScript
IssuesEvent,2023-03-05,emma_garcia,netflix/zuul,netflix,opened,,,True,Python
MergeEvent,2023-06-14,jen_liu,airbnb/visx,airbnb,opened,,,True,Go
MergeEvent,2023-12-07,james_smith,facebook/docusaurus,facebook,approved,,,True,Java
CreateEvent,2023-10-04,jen_liu,apache/kafka,apache,merged,,,True,Rust
MergeEvent,2023-05-04,emma_garcia,netflix/ribbon,netflix,updated,,,True,Python
CreateEvent,2023-01-19,mark_davis,apache/cassandra,apache,created,,,True,TypeScript
IssuesEvent,2023-11-13,robert_brown,vercel/swr,vercel,updated,,,True,Python
CreateEvent,2023-03-17,alex_kumar,google/angular,google,opened,,,True,C++
IssuesEvent,2023-11-05,mike_johnson,apache/cassandra,apache,created,,,False,Go
IssuesEvent,2023-10-25,sophie_duval,facebook/react-native,facebook,updated,,,True,Java
IssuesEvent,2023-05-31,david_martinez,elastic/logstash,elastic,merged,,,True,Rust
CreateEvent,2023-08-21,emma_garcia,netflix/archaius,netflix,closed,,,True,TypeScript
CommitEvent,2023-07-17,lisa_anderson,apache/kafka,apache,closed,2.0,12.0,True,Java
CommitEvent,2023-04-06,john_taylor,facebook/jest,facebook,reviewed,7.0,24.0,True,Python
CommitEvent,2023-08-12,tom_nelson,microsoft/vscode,microsoft,commented,15.0,1.0,False,Go
IssuesEvent,2023-04-14,alex_kumar,vercel/pkg,vercel,commented,,,True,Rust
PullRequestEvent,2023-03-07,tom_nelson,airbnb/enzyme,airbnb,opened,6.0,23.0,False,TypeScript
MergeEvent,2023-08-30,sarah_chen,airbnb/mavericks,airbnb,reviewed,,,True,TypeScript
IssuesEvent,2023-12-01,robert_brown,elastic/apm-server,elastic,closed,,,True,Go
PullRequestEvent,2023-03-29,mark_davis,apache/cassandra,apache,created,42.0,67.0,True,Rust
PushEvent,2023-01-20,alex_kumar,netflix/archaius,netflix,updated,9.0,7.0,True,JavaScript
IssuesEvent,2023-06-20,olivia_zhang,apache/airflow,apache,reviewed,,,True,Python
CommitEvent,2023-06-15,emma_garcia,google/go,google,closed,2.0,13.0,True,C++
CommitEvent,2023-04-19,lisa_anderson,vercel/micro,vercel,updated,8.0,25.0,True,Python
CreateEvent,2023-09-03,rachel_kim,uber/jaeger,uber,merged,,,True,TypeScript
PushEvent,2023-10-11,maria_rodriguez,hashicorp/terraform,hashicorp,created,8.0,4.0,True,JavaScript
CommitEvent,2023-10-21,alex_kumar,apache/cassandra,apache,reviewed,6.0,22.0,False,Go
PushEvent,2023-04-05,james_smith,apache/flink,apache,merged,5.0,24.0,False,JavaScript
CreateEvent,2023-08-10,sophie_duval,elastic/elasticsearch,elastic,merged,,,False,C++
PullRequestEvent,2023-04-29,lisa_anderson,netflix/ribbon,netflix,reviewed,29.0,61.0,True,C++
PushEvent,2023-08-22,chris_lee,google/angular,google,closed,4.0,3.0,True,Java
PushEvent,2023-03-19,john_taylor,google/go,google,updated,9.0,23.0,True,TypeScript
PushEvent,2023-10-05,john_taylor,elastic/beats,elastic,commented,5.0,24.0,True,Go
IssuesEvent,2023-11-11,anna_wilson,vercel/pkg,vercel,approved,,,False,Java
CreateEvent,2023-10-31,olivia_zhang,apache/cassandra,apache,closed,,,False,Rust
IssuesEvent,2023-08-13,jen_liu,airbnb/visx,airbnb,merged,,,False,Python
PushEvent,2023-11-10,nina_patel,hashicorp/packer,hashicorp,closed,6.0,17.0,True,Python
PushEvent,2023-09-20,jen_liu,netflix/archaius,netflix,merged,11.0,8.0,True,Go
PushEvent,2023-06-25,chris_lee,airbnb/visx,airbnb,merged,11.0,1.0,True,C++
PullRequestEvent,2023-01-19,chris_lee,google/go,google,closed,3.0,30.0,True,Java
PushEvent,2023-06-15,jen_liu,hashicorp/vagrant,hashicorp,closed,12.0,9.0,True,Go
MergeEvent,2023-10-04,dan_murphy,facebook/yoga,facebook,merged,,,False,TypeScript
MergeEvent,2023-07-01,john_taylor,elastic/logstash,elastic,closed,,,False,Rust
PullRequestEvent,2023-06-04,sarah_chen,google/chromium,google,created,29.0,26.0,True,TypeScript
CreateEvent,2023-12-09,dan_murphy,uber/pyro,uber,reviewed,,,True,Rust
PushEvent,2023-03-19,mike_johnson,microsoft/TypeScript,microsoft,commented,2.0,16.0,False,JavaScript
PullRequestEvent,2023-10-12,jen_liu,uber/jaeger,uber,merged,38.0,64.0,True,Go
